CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance,CustomerCity,CustomerStateCode,CustomerState,CustomerCountry
11012,Lauren,Walker,"Walker, Lauren",1968-01-18,M,F,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,2007-09-17,1-2 Miles,Bremerton,WA,Washington,United States
11013,Ian,Jenkins,"Jenkins, Ian",1968-08-06,M,M,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,2007-10-15,0-1 Miles,Lebanon,OR,Oregon,United States
11014,Sydney,Bennett,"Bennett, Sydney",1968-05-09,S,F,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,2007-09-24,1-2 Miles,Redmond,WA,Washington,United States
11015,Chloe,Young,"Young, Chloe",1979-02-27,S,F,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,2007-07-22,5-10 Miles,Burbank,CA,California,United States
11016,Wyatt,Hill,"Hill, Wyatt",1979-04-28,M,M,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,2007-08-13,5-10 Miles,Imperial Beach,CA,California,United States
11017,Shannon,Wang,"Wang, Shannon",1944-06-26,S,F,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,2005-07-15,5-10 Miles,Sunbury,VIC,Victoria,Australia
11018,Clarence,Rai,"Rai, Clarence",1944-10-09,S,M,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,2005-07-20,5-10 Miles,Bendigo,VIC,Victoria,Australia
11019,Luke,Lal,"Lal, Luke",1978-03-07,S,M,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,2007-08-16,5-10 Miles,Langley,BC,British Columbia,Canada
11020,Jordan,King,"King, Jordan",1978-09-20,S,M,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,2007-07-02,1-2 Miles,Metchosin,BC,British Columbia,Canada
11021,Destiny,Wilson,"Wilson, Destiny",1978-09-03,S,F,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,2007-07-27,1-2 Miles,Beaverton,OR,Oregon,United States
11022,Ethan,Zhang,"Zhang, Ethan",1978-10-12,M,M,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,2007-07-24,5-10 Miles,Bellingham,WA,Washington,United States
11023,Seth,Edwards,"Edwards, Seth",1978-10-11,M,M,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,2007-08-21,1-2 Miles,Bellflower,CA,California,United States
11024,Russell,Xie,"Xie, Russell",1978-09-17,M,M,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,2007-12-29,5-10 Miles,Concord,CA,California,United States
11025,Alejandro,Beck,"Beck, Alejandro",1945-12-23,M,M,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,2005-07-09,1-2 Miles,Hawthorne,QLD,Queensland,Australia
11026,Harold,Sai,"Sai, Harold",1946-04-03,S,M,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,2005-07-26,1-2 Miles,Goulburn,NSW,New South Wales,Australia
11027,Jessie,Zhao,"Zhao, Jessie",1946-12-07,M,M,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,2005-07-19,5-10 Miles,Warrnambool,VIC,Victoria,Australia
11028,Jill,Jimenez,"Jimenez, Jill",1946-04-11,M,F,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,2005-07-29,1-2 Miles,St. Leonards,NSW,New South Wales,Australia
11029,Jimmy,Moreno,"Moreno, Jimmy",1946-12-21,M,M,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,2005-07-22,1-2 Miles,Bendigo,VIC,Victoria,Australia
11030,Bethany,Yuan,"Yuan, Bethany",1947-02-22,M,F,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,2005-08-08,1-2 Miles,Cloverdale,SA,South Australia,Australia
11031,Theresa,Ramos,"Ramos, Theresa",1947-08-22,M,F,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,2005-08-04,1-2 Miles,Matraville,NSW,New South Wales,Australia
11032,Denise,Stone,"Stone, Denise",1947-06-11,M,F,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,2005-08-21,1-2 Miles,Melbourne,VIC,Victoria,Australia
11033,Jaime,Nath,"Nath, Jaime",1947-09-23,M,M,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,2005-08-18,5-10 Miles,Milsons Point,NSW,New South Wales,Australia
11034,Ebony,Gonzalez,"Gonzalez, Ebony",1947-06-19,M,F,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,2005-08-04,5-10 Miles,North Sydney,NSW,New South Wales,Australia
11035,Wendy,Dominguez,"Dominguez, Wendy",1948-02-24,M,F,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,2005-08-09,1-2 Miles,Cranbourne,VIC,Victoria,Australia
11036,Jennifer,Russell,"Russell, Jennifer",1978-12-18,M,F,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,2007-07-26,1-2 Miles,National City,CA,California,United States
11037,Chloe,Garcia,"Garcia, Chloe",1977-11-27,S,F,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,2007-07-24,5-10 Miles,Cliffside,BC,British Columbia,Canada
11038,Diana,Hernandez,"Hernandez, Diana",1948-03-23,M,F,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,2005-08-10,5-10 Miles,Lavender Bay,NSW,New South Wales,Australia
11039,Marc,Martin,"Martin, Marc",1948-12-17,M,M,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,2005-08-10,5-10 Miles,Wollongong,NSW,New South Wales,Australia
11040,Jesse,Murphy,"Murphy, Jesse",1977-08-01,M,M,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,2007-10-05,1-2 Miles,Tacoma,WA,Washington,United States
11041,Amanda,Carter,"Carter, Amanda",1977-10-16,M,F,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,2007-07-18,1-2 Miles,Glendale,CA,California,United States
11042,Megan,Sanchez,"Sanchez, Megan",1977-06-13,M,F,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,2007-07-25,0-1 Miles,Los Angeles,CA,California,United States
11043,Nathan,Simmons,"Simmons, Nathan",1976-02-24,M,M,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,2007-11-09,5-10 Miles,Glendale,CA,California,United States
11044,Adam,Flores,"Flores, Adam",1949-05-24,M,M,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,2005-08-31,1-2 Miles,Hervey Bay,QLD,Queensland,Australia
11045,Leonard,Nara,"Nara, Leonard",1950-05-19,S,M,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,2007-10-12,1-2 Miles,Matraville,NSW,New South Wales,Australia
11046,Christine,Yuan,"Yuan, Christine",1950-03-22,M,F,30000,3,0,High School,Skilled Manual,1,2,2356 Orange St,2005-08-09,5-10 Miles,Lavender Bay,NSW,New South Wales,Australia
11047,Jaclyn,Lu,"Lu, Jaclyn",1950-02-27,M,F,30000,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,2005-08-06,1-2 Miles,Geelong,VIC,Victoria,Australia
11048,Jeremy,Powell,"Powell, Jeremy",1950-11-22,M,M,30000,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,2005-08-13,5-10 Miles,Sunbury,VIC,Victoria,Australia
11049,Carol,Rai,"Rai, Carol",1980-07-18,S,F,40000,0,0,Partial High School,Clerical,1,2,6064 Madrid,2007-09-10,5-10 Miles,Chula Vista,CA,California,United States
11050,Alan,Zheng,"Zheng, Alan",1951-09-07,M,M,30000,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,2005-08-23,5-10 Miles,Hobart,TAS,Tasmania,Australia
11051,Daniel,Johnson,"Johnson, Daniel",1951-08-04,S,M,30000,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,2008-07-01,1-2 Miles,Caloundra,QLD,Queensland,Australia
11052,Heidi,Lopez,"Lopez, Heidi",1951-08-07,S,F,40000,2,0,Partial College,Clerical,0,2,2514 Via Cordona,2005-08-20,5-10 Miles,Matraville,NSW,New South Wales,Australia
11053,Ana,Price,"Price, Ana",1980-08-20,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,2007-07-21,1-2 Miles,San Diego,CA,California,United States
11054,Deanna,Munoz,"Munoz, Deanna",1952-03-10,M,F,40000,2,0,Partial College,Skilled Manual,1,2,5825 B Way,2005-08-06,5-10 Miles,Geelong,VIC,Victoria,Australia
11055,Gilbert,Raje,"Raje, Gilbert",1952-03-05,M,M,40000,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,2005-08-03,5-10 Miles,East Brisbane,QLD,Queensland,Australia
11056,Michele,Nath,"Nath, Michele",1953-04-03,M,F,40000,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,2005-08-29,5-10 Miles,Newcastle,NSW,New South Wales,Australia
11057,Carl,Andersen,"Andersen, Carl",1953-10-12,M,M,70000,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,2005-08-25,1-2 Miles,Lane Cove,NSW,New South Wales,Australia
11058,Marc,Diaz,"Diaz, Marc",1954-04-27,M,M,80000,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,2005-09-09,1-2 Miles,Findon,SA,South Australia,Australia
11059,Ashlee,Andersen,"Andersen, Ashlee",1954-04-01,S,F,80000,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,2007-08-22,5-10 Miles,Townsville,QLD,Queensland,Australia
11060,Jon,Zhou,"Zhou, Jon",1954-03-17,M,M,80000,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,2005-09-19,5-10 Miles,Warrnambool,VIC,Victoria,Australia
11061,Todd,Gao,"Gao, Todd",1954-02-27,M,M,80000,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,2005-09-13,5-10 Miles,Gold Coast,QLD,Queensland,Australia
11062,Noah,Powell,"Powell, Noah",1975-09-02,M,M,40000,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,2007-07-11,5-10 Miles,Portland,OR,Oregon,United States
11063,Angela,Murphy,"Murphy, Angela",1975-04-07,S,F,40000,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,2007-07-16,5-10 Miles,Redmond,WA,Washington,United States
11064,Chase,Reed,"Reed, Chase",1975-12-07,M,M,40000,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,2007-07-29,5-10 Miles,Downey,CA,California,United States
11065,Jessica,Henderson,"Henderson, Jessica",1973-10-09,M,F,60000,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,2007-08-14,1-2 Miles,La Jolla,CA,California,United States
11066,Grace,Butler,"Butler, Grace",1973-11-27,M,F,70000,0,0,Partial College,Professional,1,2,4739 Garden Ave.,2007-12-02,5-10 Miles,Lebanon,OR,Oregon,United States
11067,Caleb,Carter,"Carter, Caleb",1976-09-25,S,M,60000,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,2008-02-19,5-10 Miles,Port Orchard,WA,Washington,United States
11068,Tiffany,Liang,"Liang, Tiffany",1955-09-23,S,F,80000,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,2007-11-01,5-10 Miles,Warrnambool,VIC,Victoria,Australia
11069,Carolyn,Navarro,"Navarro, Carolyn",1955-09-21,S,F,80000,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,2005-10-18,1-2 Miles,Gold Coast,QLD,Queensland,Australia
11070,Willie,Raji,"Raji, Willie",1955-04-05,M,M,80000,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,2005-10-29,5-10 Miles,Sunbury,VIC,Victoria,Australia
11071,Linda,Serrano,"Serrano, Linda",1955-06-26,S,F,80000,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,2007-09-02,5-10 Miles,Hawthorne,QLD,Queensland,Australia
11072,Casey,Luo,"Luo, Casey",1955-02-06,S,F,80000,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,2005-10-01,1-2 Miles,St. Leonards,NSW,New South Wales,Australia
11073,Amy,Ye,"Ye, Amy",1956-08-14,S,F,70000,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,2007-09-24,5-10 Miles,Springwood,NSW,New South Wales,Australia
11074,Levi,Arun,"Arun, Levi",1956-08-28,S,M,70000,2,0,High School,Skilled Manual,1,2,4661 Bluetail,2007-09-24,5-10 Miles,Cloverdale,SA,South Australia,Australia
11075,Felicia,Jimenez,"Jimenez, Felicia",1957-11-16,S,F,80000,2,0,High School,Professional,1,2,786 Eastgate Ave,2005-10-29,5-10 Miles,Bendigo,VIC,Victoria,Australia
11076,Blake,Anderson,"Anderson, Blake",1957-07-13,S,M,80000,2,0,High School,Professional,1,2,5436 Clear,2005-10-22,5-10 Miles,Wollongong,NSW,New South Wales,Australia
11077,Leah,Ye,"Ye, Leah",1957-09-19,S,F,80000,2,0,High School,Professional,0,2,1291 Arguello Blvd.,2005-10-16,1-2 Miles,Melton,VIC,Victoria,Australia
11078,Gina,Martin,"Martin, Gina",1974-01-10,S,F,40000,0,0,High School,Professional,0,2,1349 Sol St.,2007-08-19,1-2 Miles,Cliffside,BC,British Columbia,Canada
11079,Donald,Gonzalez,"Gonzalez, Donald",1959-03-11,S,M,160000,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,2007-09-16,0-1 Miles,Geelong,VIC,Victoria,Australia
11080,Damien,Chander,"Chander, Damien",1959-07-17,M,M,170000,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,2005-10-11,0-1 Miles,Perth,SA,South Australia,Australia
11081,Savannah,Baker,"Baker, Savannah",1966-07-24,M,F,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,2007-08-16,2-5 Miles,Concord,CA,California,United States
11082,Angela,Butler,"Butler, Angela",1966-08-04,S,F,130000,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,2007-07-26,1-2 Miles,Fremont,CA,California,United States
11083,Alyssa,Cox,"Cox, Alyssa",1966-03-15,M,F,130000,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,2007-07-10,1-2 Miles,Lincoln Acres,CA,California,United States
11084,Lucas,Phillips,"Phillips, Lucas",1957-09-12,S,M,80000,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,2007-07-08,1-2 Miles,Lebanon,OR,Oregon,United States
11085,Emily,Johnson,"Johnson, Emily",1957-07-19,S,F,60000,2,0,High School,Professional,0,2,7926 Stephanie Way,2008-06-08,5-10 Miles,Newport Beach,CA,California,United States
11086,Ryan,Brown,"Brown, Ryan",1957-12-23,M,M,70000,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,2008-01-03,0-1 Miles,Santa Monica,CA,California,United States
11087,Tamara,Liang,"Liang, Tamara",1957-10-03,M,F,70000,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,2007-08-29,0-1 Miles,Chula Vista,CA,California,United States
11088,Hunter,Davis,"Davis, Hunter",1957-11-25,M,M,80000,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,2007-07-17,2-5 Miles,San Diego,CA,California,United States
11089,Abigail,Price,"Price, Abigail",1957-02-05,S,F,80000,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,2007-07-02,2-5 Miles,Long Beach,CA,California,United States
11090,Trevor,Bryant,"Bryant, Trevor",1957-12-17,S,M,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,2006-02-07,2-5 Miles,Los Angeles,CA,California,United States
11091,Dalton,Perez,"Perez, Dalton",1957-04-04,M,M,90000,2,0,Partial College,Professional,1,1,6083 San Jose,2007-08-02,5-10 Miles,Haney,BC,British Columbia,Canada
11092,Cheryl,Diaz,"Diaz, Cheryl",1967-05-06,M,F,90000,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,2005-10-09,1-2 Miles,East Brisbane,QLD,Queensland,Australia
11093,Aimee,He,"He, Aimee",1967-09-10,M,F,100000,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,2005-10-08,0-1 Miles,Wollongong,NSW,New South Wales,Australia
11094,Cedric,Ma,"Ma, Cedric",1962-04-01,S,M,70000,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,2007-10-09,0-1 Miles,Cranbourne,VIC,Victoria,Australia
11095,Chad,Kumar,"Kumar, Chad",1962-09-01,S,M,70000,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,2005-10-02,5-10 Miles,Port Macquarie,NSW,New South Wales,Australia
11096,Andrés,Anand,"Anand, Andrés",1962-08-10,M,M,60000,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,2005-10-12,5-10 Miles,North Sydney,NSW,New South Wales,Australia
11097,Edwin,Nara,"Nara, Edwin",1961-10-27,M,M,60000,1,0,Partial College,Skilled Manual,1,1,719 William Way,2005-10-05,5-10 Miles,Warrnambool,VIC,Victoria,Australia
11098,Mallory,Rubio,"Rubio, Mallory",1961-05-01,S,F,60000,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,2007-08-15,0-1 Miles,Rhodes,NSW,New South Wales,Australia
11099,Adam,Ross,"Ross, Adam",1961-03-08,M,M,60000,1,0,Bachelors,Professional,1,1,4378 Westminster Place,2005-10-08,0-1 Miles,Port Macquarie,NSW,New South Wales,Australia
11100,Latasha,Navarro,"Navarro, Latasha",1960-09-15,S,F,60000,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,2005-10-17,5-10 Miles,Cloverdale,SA,South Australia,Australia
11101,Abby,Sai,"Sai, Abby",1965-05-08,S,F,70000,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,2005-10-30,0-1 Miles,Cranbourne,VIC,Victoria,Australia
11102,Julia,Nelson,"Nelson, Julia",1965-04-21,S,F,80000,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,2008-01-17,1-2 Miles,Sydney,NSW,New South Wales,Australia
11103,Cassie,Chande,"Chande, Cassie",1964-10-17,S,F,70000,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,2005-10-16,5-10 Miles,Darlinghurst,NSW,New South Wales,Australia
11104,Edgar,Sara,"Sara, Edgar",1964-03-11,M,M,70000,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,2005-11-04,0-1 Miles,Gold Coast,QLD,Queensland,Australia
11105,Candace,Fernandez,"Fernandez, Candace",1964-12-28,S,F,70000,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,2005-11-14,5-10 Miles,Matraville,NSW,New South Wales,Australia
11106,Jessie,Liu,"Liu, Jessie",1964-09-11,S,M,70000,0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,2005-11-18,5-10 Miles,Warrnambool,VIC,Victoria,Australia
11107,Bianca,Lin,"Lin, Bianca",1959-09-09,M,F,90000,1,0,Bachelors,Professional,1,1,7530 Eola,2005-11-01,5-10 Miles,St. Leonards,NSW,New South Wales,Australia
11108,Kari,Alvarez,"Alvarez, Kari",1963-07-14,S,F,70000,0,0,Bachelors,Professional,0,2,9178 Thornhill Place,2005-11-03,0-1 Miles,Port Macquarie,NSW,New South Wales,Australia
11109,Ruben,Kapoor,"Kapoor, Ruben",1963-11-05,S,M,70000,0,0,Bachelors,Professional,0,2,1984 Glendale Circle,2005-11-10,0-1 Miles,South Melbourne,VIC,Victoria,Australia
11110,Curtis,Yang,"Yang, Curtis",1962-06-06,M,M,60000,1,0,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,2005-11-01,5-10 Miles,Darlinghurst,NSW,New South Wales,Australia
11111,Meredith,Gutierrez,"Gutierrez, Meredith",1962-02-23,M,F,60000,1,0,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,2005-11-20,0-1 Miles,Geelong,VIC,Victoria,Australia
11112,Crystal,Wang,"Wang, Crystal",1962-09-09,M,F,60000,1,0,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,2005-11-25,0-1 Miles,Hervey Bay,QLD,Queensland,Australia
11113,Micheal,Blanco,"Blanco, Micheal",1962-02-21,M,M,70000,5,4,Bachelors,Professional,1,2,596 Marfargoa Drive,2007-08-05,5-10 Miles,Perth,SA,South Australia,Australia
11114,Leslie,Moreno,"Moreno, Leslie",1962-05-28,S,F,70000,5,4,Partial College,Skilled Manual,1,2,7941 Cristobal,2007-09-19,5-10 Miles,Rhodes,NSW,New South Wales,Australia
11115,Alvin,Cai,"Cai, Alvin",1962-02-12,M,M,70000,5,4,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,2007-08-14,0-1 Miles,St. Leonards,NSW,New South Wales,Australia
11116,Clinton,Carlson,"Carlson, Clinton",1962-10-07,M,M,70000,5,4,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,2007-09-16,5-10 Miles,Sydney,NSW,New South Wales,Australia
11117,April,Deng,"Deng, April",1961-02-21,M,F,70000,5,4,Partial College,Skilled Manual,1,3,485 Ash Lane,2005-11-06,10+ Miles,Matraville,NSW,New South Wales,Australia
11118,Alvin,Zeng,"Zeng, Alvin",1957-07-03,S,M,80000,1,0,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,2008-01-11,0-1 Miles,Lavender Bay,NSW,New South Wales,Australia
11119,Evan,James,"James, Evan",1935-04-10,S,M,30000,2,0,Partial College,Clerical,0,2,4157 Sierra Ridge,2007-08-07,0-1 Miles,Port Macquarie,NSW,New South Wales,Australia
11120,Beth,Jiménez,"Jiménez, Beth",1936-08-09,S,F,40000,2,0,Bachelors,Management,1,1,7401 Las Palmas,2005-11-14,5-10 Miles,Sydney,NSW,New South Wales,Australia
11121,Orlando,Suarez,"Suarez, Orlando",1960-11-18,M,M,70000,5,4,Partial College,Skilled Manual,1,3,7743 Hames Dr,2007-12-26,10+ Miles,Newcastle,NSW,New South Wales,Australia
11122,Byron,Vazquez,"Vazquez, Byron",1960-04-02,M,M,70000,5,4,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,2007-08-25,5-10 Miles,North Sydney,NSW,New South Wales,Australia
11123,Philip,Alvarez,"Alvarez, Philip",1960-06-20,M,M,70000,5,4,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,2007-10-19,10+ Miles,Sunbury,VIC,Victoria,Australia
11124,Ross,Jordan,"Jordan, Ross",1957-07-27,S,M,80000,1,0,Partial College,Skilled Manual,1,1,6973 Dublin Court,2005-11-05,5-10 Miles,Warrnambool,VIC,Victoria,Australia
11125,Dana,Navarro,"Navarro, Dana",1956-04-08,S,F,70000,1,0,Partial College,Skilled Manual,1,1,8481 Zartop Street,2007-08-04,5-10 Miles,Seaford,VIC,Victoria,Australia
11126,Shaun,Carson,"Carson, Shaun",1949-04-07,M,M,10000,2,1,High School,Skilled Manual,0,2,57 Wolf Way,2005-11-28,0-1 Miles,North Ryde,NSW,New South Wales,Australia
11127,Jan,Edwards,"Edwards, Jan",1975-10-21,M,F,40000,0,0,High School,Skilled Manual,1,1,9409 The Alameda,2007-10-12,5-10 Miles,San Gabriel,CA,California,United States
11128,Samantha,Long,"Long, Samantha",1975-12-05,M,F,40000,0,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,2007-12-21,5-10 Miles,Renton,WA,Washington,United States
11129,Julia,Wright,"Wright, Julia",1975-08-05,S,F,40000,0,0,High School,Skilled Manual,1,1,7397 Central Blvd.,2006-02-06,5-10 Miles,Sedro Woolley,WA,Washington,United States
11130,Caroline,Russell,"Russell, Caroline",1980-01-06,M,F,30000,0,0,High School,Skilled Manual,1,2,3884 Bates Court,2008-06-11,5-10 Miles,Lebanon,OR,Oregon,United States
11131,Amanda,Rivera,"Rivera, Amanda",1980-03-12,M,F,30000,0,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,2008-04-20,0-1 Miles,Haney,BC,British Columbia,Canada
11132,Melissa,Richardson,"Richardson, Melissa",1980-10-26,S,F,30000,0,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,2007-10-11,5-10 Miles,Langford,BC,British Columbia,Canada
11133,Angela,Griffin,"Griffin, Angela",1980-09-08,S,F,30000,0,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,2008-07-02,0-1 Miles,Lake Oswego,OR,Oregon,United States
11134,Larry,Townsend,"Townsend, Larry",1946-02-26,S,M,10000,5,0,High School,Skilled Manual,1,2,7034 Carson,2005-11-03,5-10 Miles,Perth,SA,South Australia,Australia
11135,Marcus,Harris,"Harris, Marcus",1979-11-03,S,M,30000,0,0,Partial High School,Clerical,0,2,9068 Quiet Place Drive,2007-10-20,5-10 Miles,Burlingame,CA,California,United States
11136,Brianna,Morgan,"Morgan, Brianna",1978-10-26,S,F,40000,0,0,High School,Skilled Manual,0,2,9005 Eagle Ct.,2007-07-07,0-1 Miles,Metchosin,BC,British Columbia,Canada
